Schema Tables Columns Checks Foreign Keys Not Nulls Primary Keys Uniques P Constraints
ArtistSimilarity 2 3 0 2 0 1 0 3
ArtistTerm 5 7 0 4 0 3 0 7
BankAccount 2 9 0 1 5 2 0 8
BookTown 22 67 2 0 15 11 0 28
Cloc 2 10 0 0 0 0 0 0
CoffeeOrders 5 20 0 4 10 5 0 19
Flights 2 13 1 1 6 2 0 10
IsoFlav R2 6 40 0 0 0 0 5 5
JWhoisServer 6 49 0 0 44 6 0 50
NistDML183 2 6 0 1 0 0 1 2
NistWeather 2 9 5 1 5 2 0 13
NistXTS749 2 7 1 1 3 2 0 7
RiskIt 13 57 0 10 15 11 0 36
StackOverflow 4 43 0 0 5 0 0 5
UnixUsage 8 32 0 7 10 7 0 24
WordNet 8 29 0 0 22 8 1 31
Total 91 401 9 32 140 60 7 248 
