Schema Tables Columns Constraints Constraints  Constraints  Constraints  Constraints  Constraints
ArtistSimilarity 2 3 3(0) 0(0) 2(0) 0 1(0) 0(0) 
ArtistTerm 5 7 7(0) 0(0) 4(0) 0 3(0) 0(0) 
BankAccount 2 9 8(0) 0(0) 1(0) 5 2(0) 0(0)
BookTown 22 67 28(1) 2(1) 0(0) 15 11(0) 0(0)
BrowserCookies 2 13 10(4) 2(1) 1(1) 4 2(1) 1(1)
Cloc 2 10 0(0) 0(0) 0(0) 0 0(0) 0(0)
CoffeeOrders 5 20 19(0) 0(0) 4(0) 10 5(0) 0(0)
CustomerOrder 7 32 42(1) 1(1) 7(0) 27 7(0) 0(0)
DellStore 8 52 39(0) 0(0) 0(0) 39 0(0) 0(0)
Employee 1 7 4(0) 3(0) 0(0) 0 1(0) 0(0)
Examination 2 21 9(0) 6(0) 1(0) 0 2(0) 0(0)
Flights 2 13 10(4) 1(1) 1(1) 6 2(2) 0(0)
FrenchTowns 3 14 24(1) 0(0) 2(0) 13 0(0) 9(1)
Inventory 1 4 2(0) 0(0) 0(0) 0 1(0) 1(0)
Iso3166 1 3 3(0) 0(0) 0(0) 2 1(0) 0(0)
iTrust 42 309 134(15) 8(8) 1(0) 88 37(7) 0(0)
JWhoisServer 6 49 50(0) 0(0) 0(0) 44 6(0) 0(0)
MozillaExtensions 6 51 7(4) 0(0) 0(0) 0 2(0) 5(4)
MozillaPermissions 1 8 1(0) 0(0) 0(0) 0 1(0) 0(0)
NistDML181 2 7 2(2) 0(0) 1(1) 0 1(1) 0(0)
NistDML182 2 32 2(2) 0(0) 1(1) 0 1(1) 0(0)
NistDML183 2 6 2(2) 0(0) 1(1) 0 0(0) 1(1)
NistWeather 2 9 13(6) 5(5) 1(0) 5 2(1) 0(0)
NistXTS748 1 3 3(0) 1(0) 0(0) 1 0(0) 1(0)
NistXTS749 2 7 7(1) 1(0) 1(0) 3 2(1) 0(0)
Person 1 5 7(1) 1(1) 0(0) 5 1(0) 0(0)
Products 3 9 14(1) 4(0) 2(0) 5 3(1) 0(0)
RiskIt 13 57 36(1) 0(0) 10(0) 15 11(1) 0(0)
StackOverflow 4 43 5(0) 0(0) 0(0) 5 0(0) 0(0)
StudentResidence 2 6 8(0) 3(0) 1(0) 2 2(0) 0(0)
UnixUsage 8 32 24(1) 0(0) 7(0) 10 7(1) 0(0)
Usda 10 67 31(0) 0(0) 0(0) 31 0(0) 0(0)
Total 172 975 554(47) 38(18) 49(5) 335 114(17) 18(7)
